_New;Nuevo
AllTablesAreUpdated;Todas las tablas están actualizadas.
AllTablesHaveBeenUpdatedSuccessfully;Todas las tablas se han actualizado correctamente.
AllVerifiedCorrectly;Todo verificado correctamente
ShowValuesParenthesesOnlyHundredRows;Ver valores (solo 1000 filas)
Verifications;Verificaciones
VerifyParameter;Verificar {0}
CheckItems;Verificar elementos
AnImportedTableWithAliasParameterBetweenQuotesAlreadyExists;Ya existe una tabla importada con el alias '{0}'
OpenCatalog;Abrir catálogo
OpenConfiguration;Abrir configuración.
DefaultAggregationColon;Agregación predeterminada:
AddWhereClause;Agregar cláusula Where
AliasColon;Alias:
MapAttributeColon;Atributo del mapa:
KeyAttributeColon;Attributo clave:
ConnectionString;Cadena de conexión
CalculateWhereClauseAutomatically;Calcular cláusula where automaticamente
YearFieldColon;Campo Año:
SortingFieldColon;Campo de ordenación:
IdFieldForMapColon;Campo id para mapa:
LatitudeFieldColon;Campo latitud:
FieldLongitudeColon;Campo longitud:
MonthFieldColon;Campo Mes:
QuarterFieldColon;Campo Trimestre:
TableFieldsColon;Campos de la tabla:
SortFieldsColon;Campos de ordenación:
EquivalentFields;Campos equivalentes
RecentCatalogs;Catálogos recientes
ConnectedToTheDatabase;Conectado a la base de datos
Snowflakes;Copos de nieve
SnowflakesColon;Copos de nieve:
CreateNewCatalog;Crear nuevo catálogo
DisconnectedFromTheDatabase;Desconectado de la base de datos
SqlDialectColon;Dialecto SQL:
GeographicDimension;Dimensión geográfica
DocumentationUrlBetweenParenthesesColon;Documentación (URL):
ExampleColonFilterPatterns;Ejemplo: dbo.dim_*,dbo.fac_*,!*tmp*
TheItemTypeIsVisualAidToInformNatureOfDimensionOrIndicatorItDoesNotAffectGeneratedQueriesOrDataType;El tipo de elemento es una ayuda visual para informar la naturaleza de la dimensión o indicador. No afecta a las consultas generadas ni al tipo de dato.
BusinessItems;Elementos de negocio
BusinessItemsColon;Elementos de negocio:
IsGeographicalDimension;Es dimensión geográfica
IsTimeTable;Es tabla tiempo.
ThisJoinMustNotBeVerified;Esta relación no debe verificarse
ThisDocumentIsNotConfiguredForItsPublication;Este documento no está configurado para su publicación.
AvoidIncludingTheSameTableSeveralTimesInTheSameDiagramColon;Evitar incluir misma tabla varias veces en el mismo diagrama:
LastPublicationDateColon;Fecha última publicación:
FilterOfVisibleTablesColon;Filtro de tablas visibles:
FilterForTheListOfValues;Filtro para la lista de valores:
ConditionalFormating;Formato condicional
HyperlinkColon;Hipervínculo:
IdOfMap;Id de mapa
CatalogLanguageColon;Idioma del catálogo:
FirstLanguageColon;Idioma principal:
Languages;Idiomas
SecondaryLanguagesColon;Idiomas secundarios:
AdditionalInformation;Información adicional
Latitude;Latitud
Length;Longitud
CustomMapColon;Mapa personalizado:
HyperlinkModeColon;Modo hipervínculo:
ShowHundred;Mostrar 1000
ShowAll;Mostrar todos
ComputerNameColon;Nombre de equipo:
NumberOfRecordsColon;Numero de registros:
SortListOfValuesByFieldColon;Ordenar lista de valores por el campo:
AllowListsOfValuesOfThisBusinessItem;Permitir listas de valores de este elemento de negocio.
TestCatalog;Probar catálogo
Publication;Publicación
PublishCatalog;Publicar catálogo
References;Referencias
Joins;Relaciones
JoinsColon;Relaciones:
TheDocumentMustBeSavedBeforePublishing;Se debe guardar el documento antes de publicar.
TableOneParenthesesDetailTable;Tabla 1 (tabla detalle)
TableTwoParenthesesDimensionTable;Tabla 2 (tabla dimensión)
DetailTableColon;Tabla detalle:
TimeTable;Tabla tiempo
TableColon;Tabla:
AdditionalTablesColon;Tablas adicionales:
TablesColon;Tablas:
ElementTypeColon;Tipo de elemento:
DefaultColumnFilterTypeColon;Tipo de filtro de columna predeterminado:
LocationColon;Ubicación:
LastPublication;Última publicación
LastVerification;Última verificación
UseSampleCatalog;Usar catálogo de ejemplo
WindowsUserColon;Usuario de Windows:
Verification;Verificación
CheckCurrent;Verificar actual
CheckNow;Verificar ahora
CheckFields;Verificar campos
CheckAllTablesStructures;Verificar estructura de todas las tablas
CheckAll;Verificar todo
UpdateStructureFromDatabase;Actualizar estructura desde base de datos
VerifyStructureFromDatabase;Verificar estructura desde base de datos
GroupAndSort;Agrupaciones y ordenaciones
Data;Datos
ConvertIntoKey;Convertir en clave
ToolBox;Cuadro de herramientas
ReportExplorer;Explorador de informe
TheFollowingQueriesNeedAKeySinceContainSubQueries;Las siguientes consultas necesitan una clave ya que contienen sub consultas:||{0}
CannotBeQueriesWithSameName;No pueden haber consultas con el mismo nombre:||{0}
NoActionHasBeenImplementedForNodeOfTypeParameterBetweenQuotes;No se ha implementado acción para el nodo de tipo '{0}'
RemoveKey;Quitar clave
WindowOfParameter;Ventana de {0}
OpenReport;Abrir informe
HighColon;Alto:
WidthColon;Ancho:
SubjectColon;Asunto:
ExportFolderColon;Carpeta de exportación:
PageConfig;Configurar página
RightColon;Derecho:
SendByEmail;Enviar por correo
PdfExport;Exportación PDF
ExportInTheTemporaryFolder;Exportar en la carpeta temporal
Horizontal;Horizontal
BottomColon;Inferior:
RecentReports;Informes recientes
LeftColon;Izquierdo:
Margins;Márgenes
DisplayReport;Mostrar informe
DocumentNameColon;Nombre del documento:
OrientationColon;Orientación:
KeywordsColon;Palabras clave:
TopColon;Superior:
KindOfPaperColon;Tipo de papel:
Vertical;Vertical
AskEnsureWantMoveSheetToThisNewPosition;¿Estás seguro que quieres mover la hoja a esta nueva posición?
DeletedFileParameterBetweenAccents;Eliminado archivo `{0}`
CreatedFileParameterBetweenAccents;Archivo creado `{0}`
EditedFileParameterBetweenAccents;Archivo editado `{0}`
GitHubToken;Token de GitHub
YouCanGenerateATokenToInteractWithGitHubFrom;Puedes generar un token para interactuar con GitHub desde
BranchColon;Rama:
RepositoryColon;Repositorio:
OwnerColon;Propietario:
IconParentheses32x32Colon;Icono (32x32):
TheGitHubTokenMustBeSpecified;Se debe especificar el token de GitHub
TheCredentialsAreCorrectTheUserAssociatedToThisAccountIsColonParameter;Las credenciales son correctas. El usuario asociado a esta cuenta es: {0}
ShowData;Ver datos
LoadsToDatabase;Cargas a base de datos
ShowLoadsButton;Mostrar botón cargas
DefaultConnectionForLoadsColon;Conexión predeterminada para cargas:
DefaultCatalogColon;Catálogo predeterminado:
ShowXmlDefinition;Ver definición XML
TheSourceTableAndDestinationTableFieldsMustBeFilledBothOrEmptyBoth;Los campos de tabla de origen y tabla de destino se deben rellenar los dos o dejar vacíos los dos
Catalan;Catalán
French;Francés
German;Alemán
Portuguese;Portuges
ExecuteLoads;Ejecutar cargas
TheCredentialsAreNotCorrectColonParameter;Las credenciales no son correctas: {0}
UpdateAll;Actualizar todo
UpdateQuery;Actualizar consulta
StartDateColon;Fecha de inicio:
