_New	Nou
SortBy	Ordenar per
OrderByNotLocalized	Order by
InOrderToCalculateJoinAutomaticallyIsNecessarySelectSameNumberOfFieldsInTheTwoTables	Per calcular automàticament la join cal seleccionar el mateix nombre de camps en les dues taules.
CatalogProperties	Propietats de catàleg
JoinProperties	Propietats de relació
TableProperties	Propietats de taula
RecalculateDefaultFormat	Recalcular format predeterminat
TheStructureOfTheTableParameterBetweenParenthesesHasBeenUpdated	S'ha actualitzat l'estructura de la taula '{0}'
ErrorsHaveBeenFoundInSomeBusinessItems	S'han trobat errors en algun element de negoci
SelectField	Seleccionar camp
SelectTheFactTableOfTheNewSnowflake	Seleccioneu la taula de fets de el nou floc de neu.
CustomSql	SQL personalitzada
FactTable	Taula de fets
ImportedTables	Taules importades
ItemType	Tipus d'element
AllJoinsHaveBeenVerifiedCorrectly	Totes les relacions s'han verificat correctament.
AllTablesAreUpdated	Totes les taules estan actualitzades.
AllTablesHaveBeenUpdatedSuccessfully	Totes les taules s'han actualitzat correctament.
AllVerifiedCorrectly	Tot verificat correctament
ShowValuesParenthesesOnlyHundredRows	Veure valors (només 1000 files)
Verifications	Verificacions
VerifyParameter	Verificar {0}
CheckItems	Verificar elements
AnImportedTableWithAliasParameterBetweenQuotesAlreadyExists	Ja hi ha una taula importada amb l'àlies '{0}'
OpenCatalog	Obrir catàleg
OpenConfiguration	Obrir configuració.
DefaultAggregationColon	Agregació defecte:
AddWhereClause	Afegir clàusula Where
AliasColon	Alias:
MapAttributeColon	Atribut de mapa:
KeyAttributeColon	Attributo clau:
ConnectionString	Cadena de connexió
CalculateWhereClauseAutomatically	Calcular clàusula where automàticament
YearFieldColon	Camp Any:
SortingFieldColon	Camp d'ordenació:
IdFieldForMapColon	Camp id per mapa:
LatitudeFieldColon	Camp latitud:
FieldLongitudeColon	Camp longitud:
MonthFieldColon	Camp Mes:
QuarterFieldColon	Camp Trimestre:
TableFieldsColon	Camps de la taula:
SortFieldsColon	Camps d'ordenació:
EquivalentFields	Camps equivalents
RecentCatalogs	Catàlegs recents
ConnectedToTheDatabase	Connectat a la base de dades
Snowflakes	Flocs de neu
SnowflakesColon	Flocs de neu:
CreateNewCatalog	Crear nou catàleg
DisconnectedFromTheDatabase	Desconnectat de la base de dades
SqlDialectColon	Dialecte SQL:
GeographicDimension	Dimensió geogràfica
DocumentationUrlBetweenParenthesesColon	Documentació (URL):
ExampleColonFilterPatterns	Exemple: dbo.dim _ *, dbo.fac _ *,! * Tmp *
TheItemTypeIsVisualAidToInformNatureOfDimensionOrIndicatorItDoesNotAffectGeneratedQueriesOrDataType	El tipus d'element és una ajuda visual per informar la naturalesa de la dimensió o indicador. No afecta les consultes generades ni a el tipus de dada.
BusinessItems	Elements de negoci
BusinessItemsColon	Elements de negoci:
IsGeographicalDimension	És dimensió geogràfica
IsTimeTable	És taula temps.
ThisJoinMustNotBeVerified	Aquesta relació no ha de verificar
ThisDocumentIsNotConfiguredForItsPublication	Aquest document no està configurat per a la seva publicació.
AvoidIncludingTheSameTableSeveralTimesInTheSameDiagramColon	Evitar incloure mateixa taula diverses vegades en el mateix diagrama:
LastPublicationDateColon	Data última publicació:
FilterOfVisibleTablesColon	Filtre de taules visibles:
FilterForTheListOfValues	Filtre per a la llista de valors:
ConditionalFormating	Format condicional
HyperlinkColon	Hipervincle:
IdOfMap	Aneu de mapa
CatalogLanguageColon	Idioma el catàleg:
FirstLanguageColon	Idioma principal:
Languages	Idiomes
SecondaryLanguagesColon	Idiomes secundaris:
AdditionalInformation	Informació addicional
Latitude	Latitud
Length	Longitud
CustomMapColon	Mapa personalitzat:
HyperlinkModeColon	Mode hipervincle:
ShowHundred	Mostra 1000
ShowAll	Mostra tots
ComputerNameColon	Nom d'equip:
NumberOfRecordsColon	Nombre de registres:
SortListOfValuesByFieldColon	Ordenar llista de valors pel camp:
AllowListsOfValuesOfThisBusinessItem	Permetre llistes de valors d'aquest element de negoci.
TestCatalog	Provar catàleg
Publication	Publicació
PublishCatalog	Publicar catàleg
References	Referències
Joins	Relacions
JoinsColon	Relacions:
TheDocumentMustBeSavedBeforePublishing	S'ha de guardar el document abans de publicar.
TableOneParenthesesDetailTable	Taula 1 (taula detall)
TableTwoParenthesesDimensionTable	Taula 2 (taula dimensió)
DetailTableColon	Taula detall:
TimeTable	Taula temps
TableColon	Taula:
AdditionalTablesColon	Taules addicionals:
TablesColon	Taules:
ElementTypeColon	Tipus d'element:
DefaultColumnFilterTypeColon	Tipus de filtre de columna per defecte:
LocationColon	Ubicació:
LastPublication	Última publicació
LastVerification	Darrera verificació
UseSampleCatalog	Utilitza catàleg d'exemple
WindowsUserColon	Usuari de Windows:
Verification	Verificació
CheckCurrent	Verificar actual
CheckNow	Verificar ara
CheckFields	Verificar camps
CheckAllTablesStructures	Verificar estructura de totes les taules
CheckAll	Verificar tot
UpdateStructureFromDatabase	Actualitzar estructura des de base de dades
VerifyStructureFromDatabase	Verificar estructura des de base de dades
GroupAndSort	Agrupacions i ordenacions
Data	Dades
ConvertIntoKey	Convertir en clau
ToolBox	Quadre d'eines
ReportExplorer	Explorador d'informe
TheFollowingQueriesNeedAKeySinceContainSubQueries	Les següents consultes necessiten un clau ja que contenen sub consultes:||{0}
CannotBeQueriesWithSameName	No poden haver consultes amb el mateix nom:||{0}
NoActionHasBeenImplementedForNodeOfTypeParameterBetweenQuotes	No s'ha implementat acció per al node de tipus '{0}'
RemoveKey	Treure clau
WindowOfParameter	Finestra de {0}
OpenReport	Obrir informe
HighColon	Alt:
WidthColon	Ample:
SubjectColon	Assumpte:
ExportFolderColon	Carpeta d'exportació:
PageConfig	Format de pàgina
RightColon	Dret:
SendByEmail	Envia per correu
PdfExport	Exportació PDF
ExportInTheTemporaryFolder	Exportar a la carpeta temporal
Horizontal	Horitzontal
BottomColon	Inferior:
RecentReports	Informes recents
LeftColon	Esquerre:
Margins	Marges
DisplayReport	Mostra informe
DocumentNameColon	Nom d'el document:
OrientationColon	Orientació:
KeywordsColon	Paraules clau:
TopColon	Superior:
KindOfPaperColon	Tipus de paper:
Vertical	Vertical
AskEnsureWantMoveSheetToThisNewPosition	Estàs segur que vols moure el full a aquesta nova posició?
DeletedFileParameterBetweenAccents	Eliminat fitxer `{0}`
CreatedFileParameterBetweenAccents	Arxiu creat `{0}`
EditedFileParameterBetweenAccents	Arxiu editat `{0}`
GitHubToken	Token de GitHub
YouCanGenerateATokenToInteractWithGitHubFrom	Pots generar un símbol per interactuar amb GitHub des
BranchColon	Branca:
RepositoryColon	Repositori:
OwnerColon	Propietari:
IconParentheses32x32Colon	Icona (32x32):
TheGitHubTokenMustBeSpecified	S'ha d'especificar el testimoni de GitHub
ShowData	Veure dades
LoadsToDatabase	Càrregues a força de dades
ShowLoadsButton	Mostra botó càrregues
DefaultConnectionForLoadsColon	Connexió per defecte per a càrregues:
DefaultCatalogColon	Catàleg predeterminat:
ShowXmlDefinition	Veure definició XML
TheSourceTableAndDestinationTableFieldsMustBeFilledBothOrEmptyBoth	Els camps de taula d'origen i taula de destinació s'han d'omplir els dos o deixar buits dels dos
Catalan	Català
French	Francès
German	Alemany
Portuguese	Portuges
TheCredentialsAreCorrectTheUserAssociatedToThisAccountIsColonParameter	Les credencials són correctes. L'usuari associat a aquest compte és: {0}
ExecuteLoads	Executar càrregues
TheCredentialsAreNotCorrectColonParameter	Les credencials no són correctes: {0}
Contains	Conté
UpdateAll	Actualitzar tot
UpdateQuery	Actualitzar consulta
StartDateColon	Data d'inici:
