_New;Novo
MonthFieldColon;Campo do mês:
QuarterFieldColon;Campo do quarto:
TableFieldsColon;Campos da tabela:
SortFieldsColon;Classificar campos:
EquivalentFields;Campos equivalentes
RecentCatalogs;Catálogos recentes
ConnectedToTheDatabase;Conectado ao banco de dados
Snowflakes;Copos de neve
SnowflakesColon;Copos de neve:
CreateNewCatalog;Criar novo catálogo
DisconnectedFromTheDatabase;Desconectado do banco de dados
SqlDialectColon;Dialeto SQL:
GeographicDimension;Dimensão geográfica
DocumentationUrlBetweenParenthesesColon;Documentação (URL):
ExampleColonFilterPatterns;Exemplo: dbo.dim _ *, dbo.fac _ * ,! * Tmp *
TheItemTypeIsVisualAidToInformNatureOfDimensionOrIndicatorItDoesNotAffectGeneratedQueriesOrDataType;O tipo de elemento é um auxílio visual para informar a natureza da dimensão ou indicador. Não afeta as consultas geradas ou o tipo de dados.
BusinessItems;Itens de negócios
BusinessItemsColon;Elementos de negócios:
IsGeographicalDimension;É dimensão geográfica
IsTimeTable;É horário.
ThisJoinMustNotBeVerified;Esse relacionamento não deve ser verificado.
ThisDocumentIsNotConfiguredForItsPublication;Este documento não está configurado para publicação.
AvoidIncludingTheSameTableSeveralTimesInTheSameDiagramColon;Evite incluir a mesma tabela várias vezes no mesmo diagrama:
LastPublicationDateColon;Data da última publicação:
FilterOfVisibleTablesColon;Filtrar tabelas visíveis:
FilterForTheListOfValues;Filtre a lista de valores:
ConditionalFormating;Formatação condicional
HyperlinkColon;Hiperlink:
IdOfMap;ID do mapa
CatalogLanguageColon;Idioma do catálogo:
FirstLanguageColon;Língua principal:
Languages;Línguas
SecondaryLanguagesColon;Idiomas Secundários:
AdditionalInformation;Informação adicional
Latitude;Latitude
Length;Comprimento
CustomMapColon;Mapa personalizado:
HyperlinkModeColon;Modo de hiperlink:
ShowHundred;Mostrar 1000
ShowAll;Mostrar tudo
ComputerNameColon;Nome da Equipe:
NumberOfRecordsColon;Número de registros:
SortListOfValuesByFieldColon;Classifique a lista de valores por campo:
AllowListsOfValuesOfThisBusinessItem;Permitir listas de valores desse elemento de negócios.
TestCatalog;Catálogo de teste
Publication;Publicação
PublishCatalog;Publicar Catálogo
References;Referências
Joins;Relacionamentos
JoinsColon;Relacionamentos:
TheDocumentMustBeSavedBeforePublishing;O documento deve ser salvo antes da publicação.
TableOneParenthesesDetailTable;Tabela 1 (tabela de detalhes)
TableTwoParenthesesDimensionTable;Tabela 2 (tabela de dimensões)
DetailTableColon;Tabela de detalhes:
TimeTable;Horário
TableColon;Tabela:
AdditionalTablesColon;Tabelas adicionais:
TablesColon;Tabelas:
ElementTypeColon;Tipo de elemento:
DefaultColumnFilterTypeColon;Tipo de filtro de coluna padrão:
LocationColon;Localização:
LastPublication;Última mensagem
LastVerification;Última Verificação
UseSampleCatalog;Usar catálogo de amostra
WindowsUserColon;Usuário do Windows:
Verification;Verificação
CheckCurrent;Verificar atual
CheckNow;Verifique agora
CheckFields;Verificar campos
CheckAllTablesStructures;Verificar estrutura de todas as tabelas
CheckAll;Verificar todos
UpdateStructureFromDatabase;Atualizar estrutura do banco de dados
VerifyStructureFromDatabase;Verificar estrutura do banco de dados
GroupAndSort;Grupos e ordenações
Data;Dados
ConvertIntoKey;Converter em chave
ToolBox;Caixa de ferramentas
ReportExplorer;Explorador de relatórios
TheFollowingQueriesNeedAKeySinceContainSubQueries;As seguintes consultas precisam de uma senha, pois contêm subconsultas:||{0}
CannotBeQueriesWithSameName;Não pode haver consultas com o mesmo nome:||{0}
NoActionHasBeenImplementedForNodeOfTypeParameterBetweenQuotes;Nenhuma ação foi implementada para o nó do tipo '{0}'
RemoveKey;Remover senha
WindowOfParameter;Janela {0}
OpenReport;Abrir relatório
HighColon;Alta:
WidthColon;Largura:
SubjectColon;Assunto:
ExportFolderColon;Pasta de exportação:
PageConfig;Configuração da página
RightColon;Direito:
SendByEmail;Enviar via correios
PdfExport;Exportação de PDF
ExportInTheTemporaryFolder;Exportar na pasta temporária
Horizontal;Horizontal
BottomColon;Inferior:
RecentReports;Relatórios recentes
LeftColon;Esquerda:
Margins;Margens
DisplayReport;Mostrar relatório
DocumentNameColon;Nome do documento:
OrientationColon;Orientação:
KeywordsColon;Palavras chave:
TopColon;Superior:
KindOfPaperColon;Tipo de papel:
Vertical;Vertical
AskEnsureWantMoveSheetToThisNewPosition;Tem certeza de que deseja mover a lâmina para esta nova posição?
DeletedFileParameterBetweenAccents;Arquivo excluído `{0}`
CreatedFileParameterBetweenAccents;Arquivo criado `{0}`
EditedFileParameterBetweenAccents;Arquivo editado `{0}`
GitHubToken;Token do GitHub
YouCanGenerateATokenToInteractWithGitHubFrom;Você pode gerar um token para interagir com o GitHub a partir de
BranchColon;Filial:
RepositoryColon;Repositório:
OwnerColon;Proprietário:
IconParentheses32x32Colon;Ícone (32x32):
TheGitHubTokenMustBeSpecified;O token do GitHub deve ser especificado
ShowData;Ver dados
LoadsToDatabase;Uploads de banco de dados
ShowLoadsButton;Botão Mostrar cargas
DefaultConnectionForLoadsColon;Conexão padrão para cargas:
DefaultCatalogColon;Catálogo padrão:
ShowXmlDefinition;Consulte definição XML
TheSourceTableAndDestinationTableFieldsMustBeFilledBothOrEmptyBoth;Os campos da tabela de origem e da tabela de destino devem ser preenchidos nos dois ou deixados em branco nos dois
Catalan;Catalão
French;Francês
German;Alemão
Portuguese;Portuges
TheCredentialsAreCorrectTheUserAssociatedToThisAccountIsColonParameter;As credenciais estão corretas. O usuário associado a esta conta é: {0}
ExecuteLoads;Executar cargas
TheCredentialsAreNotCorrectColonParameter;As credenciais não estão corretas: {0}
Contains;Contém
UpdateAll;Atualizar tudo
UpdateQuery;Atualizar consulta
StartDateColon;Data de início:
