_New;Nouveau
FilterTables;Tables de filtrage
ThereIsSomeErrorInTheJoinDefinition;Y a-t-il une erreur dans la définition de la jointure
ImportTable;Importer une table
ImportTableParenthesesWithAlias;Importer une table (avec alias)
TheWhereClauseCannotBeEmpty;La clause where ne peut pas être vide.
TheDefinitionOfTheBusinessItemParameterBetweenQuotesContainsErrors;La définition de l'élément métier '{0}' contient des erreurs
TheTableStructureDoesNotCorrespondWithTheOneAtTheDatabase;La structure de la table ne correspond pas à celle de la base de données
TheExpressionMustBeAFilter;L'expression doit être un filtre
TheSelectionMustBeADatabaseTable;La sélection doit être une table de base de données
TheGeographicSqlIsBadDefined;Le sql géographique est mal défini
TheTableParameterBetweenQuotesIsNotFoundInAnyDiagram;La table '{0}' ne se trouve dans aucun diagramme.
TheTableHasTheCorrectStructure;Le tableau a la structure correcte.
TheDocumentationUrlDoesNotHaveValidFormat;L'URL de documentation n'a pas de format valide
CouldNotUpdateTheFollowingTables;Les tableaux suivants n'ont pas pu être mis à jour: {0}
LocateTableInDiagram;Localiser le tableau dans le diagramme
TheCurrentFieldsDoNotMatchThoseInTheDatabaseAskWantReloadThem;Les champs actuels ne correspondent pas à ceux de la base de données, voulez-vous les recharger?
TheBusinessItemsHaveBeenCheckedSuccessfully;Les éléments d'entreprise ont été vérifiés avec succès
ShowError;Afficher l'erreur
ItHasNotBeenPossibleAccessSampleCatalogsCheckInternetConnectionIfProblemPersistsContactUsAtEmail;Il n'a pas été possible d'accéder aux exemples de catalogues, vérifiez votre connexion Internet, si le problème persiste, contactez-nous à info@crono.net
ACatalogHasNotBeenSetToTheEditor;Le catalogue n'a pas été attribué à l'éditeur
CustomMapAttributeHasNotBeenConfigured;Attribut de carte personnalisé non défini
TheFieldWithTheMapIdHasNotBeenConfigured;Le champ avec l'ID de la carte n'a pas été défini
NoTableNamedParameterBetweenQuotesHasBeenFoundInTheDatabase;Aucune table trouvée dans la base de données avec le nom '{0}'
CouldNotOpenCatalogParameterBetweenQuotes;Impossible d'ouvrir le catalogue "" {0} ""
CouldNotConnectToTheDatabase;Impossible de se connecter à la base de données.
CouldNotRelateAnyTableWithThisBusinessItem;Aucun tableau n'a pu être associé à cet élément commercial.
NoChangesDetectedInTableParameterBetweenQuotes;Aucune modification détectée dans la table '{0}'
CouldNotLoadTheMapFiles;Impossible de charger les fichiers de carte
CannotChangeItemTypeWhenFoldersAndBusinessITemsHaveBeenSelectedAtTheSameTime;Vous ne pouvez pas modifier le type d'élément lorsque des dossiers et des éléments commerciaux ont été sélectionnés en même temps.
CannotLoadTheDbfMapFile;Impossible de charger le fichier de carte .dbf
CannotLoadTheShpMapFile;Impossible de charger le fichier de carte .shp
CannotCheckTheInformationOfTheTableParameterBetweenParenthesesBecauseItWasNotPossibleToAccessDatabase;Les informations de la table '{0}' ne peuvent pas être vérifiées car il n'a pas été possible d'accéder à la base de données
CannotCreateThisJoinsBecausePathFromParameterToPArameterAlreadyExistsAndCircularJoinWouldBeCreated;Cette relation ne peut pas être créée car un chemin existe déjà de '{0}' à '{1}' et une relation circulaire serait créée.
ObjectNameInParameter;Nom d'objet dans {0}
NewAlias;Nouvel alias
NewAliasColon;Nouvel alias:
NewCatalog;Nouveau catalogue
NewSnowflake;Nouveau flocon de neige
SortBy;Trier par
OrderByNotLocalized;Commandez par
InOrderToCalculateJoinAutomaticallyIsNecessarySelectSameNumberOfFieldsInTheTwoTables;Pour calculer automatiquement la jointure, il est nécessaire de sélectionner le même nombre de champs dans les deux tables.
CatalogProperties;Propriétés du catalogue
JoinProperties;Propriétés des relations
TableProperties;Propriétés du tableau
RecalculateDefaultFormat;Recalculer le format par défaut
TheStructureOfTheTableParameterBetweenParenthesesHasBeenUpdated;La structure de la table '{0}' a été mise à jour
ErrorsHaveBeenFoundInSomeBusinessItems;Des erreurs ont été trouvées dans certains éléments métier
SelectField;Sélectionner un champ
SelectTheFactTableOfTheNewSnowflake;Sélectionnez le tableau des faits du nouveau flocon de neige.
CustomSql;SQL personnalisé
FactTable;Table de faits
ImportedTables;Tables importées
ItemType;Type d'élément
AllJoinsHaveBeenVerifiedCorrectly;Toutes les relations ont été vérifiées correctement.
AllTablesAreUpdated;Tous les tableaux sont mis à jour.
AllTablesHaveBeenUpdatedSuccessfully;Tous les tableaux ont été mis à jour avec succès.
AllVerifiedCorrectly;Tout vérifié correctement
ShowValuesParenthesesOnlyHundredRows;Voir les valeurs (seulement 1000 lignes)
Verifications;Vérifications
VerifyParameter;Vérifiez {0}
CheckItems;Vérifier les éléments
AnImportedTableWithAliasParameterBetweenQuotesAlreadyExists;Une table importée avec l'alias '{0}' existe déjà
OpenCatalog;Ouvrir le catalogue
OpenConfiguration;Ouvrir les paramètres
DefaultAggregationColon;Agrégation par défaut:
AddWhereClause;Ajouter une clause Where
AliasColon;Alias:
MapAttributeColon;Attribut de la carte:
KeyAttributeColon;Attribut clé:
ConnectionString;Chaîne de connexion
CalculateWhereClauseAutomatically;Calculer automatiquement la clause Where
YearFieldColon;Champ année:
SortingFieldColon;Champ de tri:
IdFieldForMapColon;Champ ID pour la carte:
LatitudeFieldColon;Champ Latitude:
FieldLongitudeColon;Longueur du champ:
MonthFieldColon;Champ Mois:
QuarterFieldColon;Quart de champ:
TableFieldsColon;Champs de table:
SortFieldsColon;Champs de tri:
EquivalentFields;Champs équivalents
RecentCatalogs;Catalogues récents
ConnectedToTheDatabase;Connecté à la base de données
Snowflakes;Flocons de neige
SnowflakesColon;Flocons de neige:
CreateNewCatalog;Créer un nouveau catalogue
DisconnectedFromTheDatabase;Déconnecté de la base de données
SqlDialectColon;Dialecte SQL:
GeographicDimension;Dimension géographique
DocumentationUrlBetweenParenthesesColon;Documentation (URL):
ExampleColonFilterPatterns;Exemple: dbo.dim _ *, dbo.fac _ *,! * Tmp *
TheItemTypeIsVisualAidToInformNatureOfDimensionOrIndicatorItDoesNotAffectGeneratedQueriesOrDataType;Le type d'élément est une aide visuelle pour informer la nature de la dimension ou de l'indicateur. Il n'affecte pas les requêtes générées ni le type de données.
BusinessItems;Articles professionnels
BusinessItemsColon;Éléments commerciaux:
IsGeographicalDimension;C'est la dimension géographique
IsTimeTable;C'est le calendrier.
ThisJoinMustNotBeVerified;Cette relation ne doit pas être vérifiée.
ThisDocumentIsNotConfiguredForItsPublication;Ce document n'est pas configuré pour la publication.
AvoidIncludingTheSameTableSeveralTimesInTheSameDiagramColon;Évitez d'inclure plusieurs fois la même table dans le même diagramme:
LastPublicationDateColon;Date de dernière publication:
FilterOfVisibleTablesColon;Filtrer les tableaux visibles:
FilterForTheListOfValues;Filtrez la liste de valeurs:
ConditionalFormating;Formatage conditionnel
HyperlinkColon;Hyperlien:
IdOfMap;Identifiant de la carte
CatalogLanguageColon;Langue du catalogue:
FirstLanguageColon;Langue principale:
Languages;Langues
SecondaryLanguagesColon;Langues secondaires:
AdditionalInformation;Information complémentaire
Latitude;Latitude
Length;La longueur
CustomMapColon;Carte personnalisée:
HyperlinkModeColon;Mode hyperlien:
ShowHundred;Afficher 1000
ShowAll;Tout afficher
ComputerNameColon;Nom de l'équipe:
NumberOfRecordsColon;Nombre d'enregistrements:
SortListOfValuesByFieldColon;Trier la liste des valeurs par champ:
AllowListsOfValuesOfThisBusinessItem;Autoriser les listes de valeurs de cet élément métier.
TestCatalog;Catalogue de test
Publication;Publication
PublishCatalog;Publier le catalogue
References;Les références
Joins;Les relations
JoinsColon;Relations:
TheDocumentMustBeSavedBeforePublishing;Le document doit être enregistré avant sa publication.
TableOneParenthesesDetailTable;Tableau 1 (tableau détaillé)
TableTwoParenthesesDimensionTable;Tableau 2 (tableau des dimensions)
DetailTableColon;Tableau de détail:
TimeTable;Horaire
TableColon;Tableau:
AdditionalTablesColon;Tableaux supplémentaires:
TablesColon;Tableaux:
ElementTypeColon;Type d'élément:
DefaultColumnFilterTypeColon;Type de filtre de colonne par défaut:
LocationColon;Lieu:
LastPublication;Dernier message
LastVerification;Dernière vérification
UseSampleCatalog;Utiliser un exemple de catalogue
WindowsUserColon;Utilisateur Windows:
Verification;Vérification
CheckCurrent;Vérifier le courant
CheckNow;Vérifiez maintenant
CheckFields;Vérifier les champs
CheckAllTablesStructures;Vérifier la structure de toutes les tables
CheckAll;Tout cocher
UpdateStructureFromDatabase;Mettre à jour la structure de la base de données
VerifyStructureFromDatabase;Vérifier la structure de la base de données
GroupAndSort;Groupes et ordinations
Data;Les données
ConvertIntoKey;Convertir en clé
ToolBox;Boîte à outils
ReportExplorer;Explorateur de rapports
TheFollowingQueriesNeedAKeySinceContainSubQueries;Les requêtes suivantes nécessitent un mot de passe car elles contiennent des sous-requêtes:||{0}
CannotBeQueriesWithSameName;Il ne peut y avoir de requêtes du même nom:||{0}
NoActionHasBeenImplementedForNodeOfTypeParameterBetweenQuotes;Aucune action n'a été implémentée pour le nœud de type '{0}'
RemoveKey;Supprimer le mot de passe
WindowOfParameter;Fenêtre {0}
OpenReport;Rapport ouvert
HighColon;Élevé:
WidthColon;Largeur:
SubjectColon;Objet:
ExportFolderColon;Dossier d'exportation:
PageConfig;Mise en page
RightColon;À droite:
SendByEmail;Envoyer par courrier
PdfExport;Exportation PDF
ExportInTheTemporaryFolder;Exporter dans le dossier temporaire
Horizontal;Horizontal
BottomColon;Bas:
RecentReports;Rapports récents
LeftColon;Gauche:
Margins;Marges
DisplayReport;Afficher le rapport
DocumentNameColon;Nom du document:
OrientationColon;Orientation:
KeywordsColon;Mots-clés:
TopColon;Supérieur:
KindOfPaperColon;Type de papier:
Vertical;Vertical
AskEnsureWantMoveSheetToThisNewPosition;Voulez-vous vraiment déplacer la lame dans cette nouvelle position?
DeletedFileParameterBetweenAccents;Fichier supprimé `{0}`
CreatedFileParameterBetweenAccents;Fichier créé `{0}`
EditedFileParameterBetweenAccents;Fichier modifié `{0}`
GitHubToken;Jeton GitHub
YouCanGenerateATokenToInteractWithGitHubFrom;Vous pouvez générer un jeton pour interagir avec GitHub à partir de
BranchColon;Succursale:
RepositoryColon;Référentiel:
OwnerColon;Propriétaire:
IconParentheses32x32Colon;Icône (32x32):
TheGitHubTokenMustBeSpecified;Le jeton GitHub doit être spécifié
ShowData;Voir les données
LoadsToDatabase;Téléchargements de base de données
ShowLoadsButton;Bouton Afficher les charges
DefaultConnectionForLoadsColon;Connexion par défaut pour les charges:
DefaultCatalogColon;Catalogue par défaut:
ShowXmlDefinition;Voir la définition XML
TheSourceTableAndDestinationTableFieldsMustBeFilledBothOrEmptyBoth;Les champs de la table source et de la table de destination doivent être remplis dans les deux ou laissés vides dans les deux
Catalan;Catalan
French;Le français
German;Allemand
Portuguese;Portuges
TheCredentialsAreCorrectTheUserAssociatedToThisAccountIsColonParameter;Les informations d'identification sont correctes. L'utilisateur associé à ce compte est: {0}
ExecuteLoads;Exécuter des charges
TheCredentialsAreNotCorrectColonParameter;Les informations d'identification ne sont pas correctes: {0}
Contains;Contient
UpdateAll;Tout mettre à jour
UpdateQuery;Mettre à jour la requête
StartDateColon;Date de début:
