_New;Neu
TheNameOfTheDeleteDateColumnIsNotValid;Der Name der Spalte zum Löschdatum ist ungültig.
TheNameOfTheInsertDateColumnIsNotValid;Der Name der Spalte für das Einfügungsdatum ist ungültig.
AuditFields;Überwachungsfelder
UpdateDateColon;Aktualisierungsdatum:
DeletionDateColon;Eliminierungsdatum:
InsertionDateColon;Einfügedatum:
EtlOptions;ETL-Optionen
TheFolderParameterBetweenQuotesDoesNotExist;Der Ordner '{0}' existiert nicht.
Environments;Umgebung
NewEnvironment;Neue Umgebung
TheFileNoLongerExists;Die Datei existiert nicht mehr.
ThisFileTypeCannotBeEditedWithCronoEtl;Dieser Dateityp kann nicht mit Crono ETL bearbeitet werden.
LimitResultsCountToColon;Begrenzen Sie die Anzahl der Ergebnisse auf:
AllowSavingFilesWithSyntaxErrors;Erlaube das Speichern von Dateien mit Syntaxfehlern.
EnvironmentProperties;Umgebungseigenschaften
CopyFolderPath;Ordnerpfad kopieren
ANameForThisEnvironmentMustBeEstablished;Es ist erforderlich, einen Namen für diese Umgebung festzulegen.
DuplicateEnvironment;Doppelte Umgebung
CloseAllButThis;Schließen Sie alle außer dem aktuellen
CannotCreateNewProjectInSelectedPathBecauseAlreadyContainsProjectOrItIsInsideAnotherProject;Sie können auf der ausgewählten Route kein neues Projekt erstellen, da es bereits ein Projekt enthält oder sich in einem anderen Projekt befindet
NoProjectExistsInTheSelectedPathAskCreateItNow;Auf der ausgewählten Route befinden sich keine Projekte. Möchten Sie es jetzt erstellen?
CopyFileFullPath;Kopieren Sie den vollständigen Dateipfad
CopyFileName;Dateiname kopieren
OpenFileLocation;Öffnen Sie den Dateispeicherort
TheFileParameterBetweenQuotesHasBeenModifiedFromAnotherApplicationAskWantReloadFile;Die Datei '{0}' wurde von einer anderen Anwendung geändert. Möchten Sie die Datei neu laden?
ReloadFromDisc;Von der Festplatte neu laden
AskEnsureWantReloadFileAndLoseChanges;Möchten Sie die Datei wirklich neu laden und die vorgenommenen Änderungen verlieren?
YoMustSaveChangesBeforeSettingThisFileOnReadonlyMode;Sie müssen die Änderungen speichern, bevor Sie diese Datei in den schreibgeschützten Modus versetzen.
TheFileParameterBetweenQuotesContainsSyntaxErrors;Die Datei '{0}' enthält Syntaxfehler.
AskEnsureWantSaveItWithErrors;Sind Sie sicher, dass Sie es mit Fehlern speichern möchten?
ItIsNotPossibleToSaveTheFileParameterBetweenQuotesBecauseItContainsSyntaxErrorsCheckCodeAndTryItAgain;Es ist nicht möglich, die Datei '{0}' zu speichern, da sie Syntaxfehler enthält. Überprüfen Sie den Code und versuchen Sie es erneut.
YouCanChangeThisSettingFromTheProjectProperties;Sie können diese Einstellung in den Projekteigenschaften ändern.
ProjectProperties;Projekteigenschaften
OneRow;1 Reihe
OneColumn;1 Spalte
AnErrorOccurredDuringQueryExecution;Während der Ausführung der Abfrage ist ein Fehler aufgetreten.
QueryExecutedSuccessfullyAt;Abfrage erfolgreich ausgeführt bei
ThereWasAProblemGettingTheDataFromParameter;Es gab ein Problem beim Abrufen der Daten||{0}
CouldNotReadOrAddTheXmlSchemaOfTheTable;Das XML-Schema der Tabelle konnte nicht gelesen oder hinzugefügt werden.||{0}
LoadingCronoBindings;Laden von Crono-Bindungen
TheFilePropertyMustBeSpecified;Die Eigenschaft 'Datei' muss angegeben werden
TheOutputPropertyMustBeSpecified;Die Eigenschaft 'Ausgabe' muss angegeben werden
UnexpectedErrorTheCatalogOfTheQueryHasNotBeenLocated;Unvorhergesehener Fehler Der Katalog der Abfrage wurde nicht gefunden.
ItIsNotPosibleToEditThisQuery;Diese Abfrage kann nicht bearbeitet werden.
CouldNotLocateTheMappingParameter;Zuordnung {0} konnte nicht gefunden werden
CouldNotReestablishTheFilterThatThereWasInTheCoulumnParameter;Der Filter in Spalte {0} konnte nicht zurückgesetzt werden
CannotEditTheCurrentTableBecauseItWasNotGeneratedWithCronoExcel;Die aktuelle Tabelle kann nicht bearbeitet werden, da sie nicht mit Crono Excel generiert wurde
WorkbookProperties;Bucheigenschaften
Loads;Lädt
SourceTableNameColon;Name der Quelltabelle:
DestinationTableName;Name der Zieltabelle:
PreprocessCodeColon;Vorverarbeitungscode:
PostprocessCodeColon;Nachbearbeitungscode
CouldNotFindTableParameterBetweenQuotesInThisWorkbook;Die Tabelle '{0}' wurde in diesem Buch nicht gefunden.
ThereIsAProblemWithThePreprocessCode;Es liegt ein Problem mit dem Vorverarbeitungscode vor.
ThereIsAProblemWithThePostprocessCode;Es liegt ein Problem mit dem Nachbearbeitungscode vor.
TimeTableUsageInformation;Die Konfiguration des Zeitplans wird verwendet, um TD-, YTD-, QTD- und MTD-Werte zu berechnen. Sobald der Zeitplan definiert ist, können die Funktionen td (), ytd (), qtd () und mtd () im Katalog verwendet werden.||Diese Funktionalität erfordert, dass die Datenbank die ANSI-Syntax unterstützt (einschließlich der WITH-Klausel und der OVER-Fensterfunktionen).
GeographicalDimensionsUsageInformation;Geografische Abmessungen ermöglichen Kartengrafiken. Es gibt drei Arten von Karten, die dargestellt werden können: Blasen-, Kuchen- oder farbige Bereiche.||Der Breiten- und Längengrad jedes Dimensionswerts wird verwendet, um die geografischen Diagramme des Blasentyps und des Tortentyps zu erstellen. Die benutzerdefinierte Karte wird verwendet, um die Formen jeder Region in den farbigen Karten zu identifizieren.
TimeTableFieldsOrderUsageInformation;Wählen und sortieren Sie die relevanten Felder für das Zeitmanagement (Beispiel: Jahr, Semester, Quartal, Anzahl_Monat, Datum, Tag).|Diese Informationen werden zur Berechnung der temporären Akkumulation (TD, YTD, QTD, MTD) verwendet.
AskWantToCheckTheseParameterJoinsLastVerificationDateColonParameterLastVerificationTimeColonParameterSeconds;Möchten Sie diese {0} -Beziehungen überprüfen?|Letztes Überprüfungsdatum: {1}|Letzte Überprüfungszeit: {2} Sekunden
CalculatingDataTypeOfTheBusinessItemsThisActionOnlyNecessaryOncePerCatalog;Berechnung des Datentyps von Geschäftselementen.|Diese Aktion ist nur einmal pro Katalog erforderlich.
TheCurrentDiagramIsAlreadyUsingTheTableParameterBetweenQuotesAskWantChooseNewAliasForTableParameterBetweenQuotes;Das aktuelle Diagramm verwendet bereits die Tabelle '{0}'.||Möchten Sie einen neuen Alias für die Tabelle '{1}' auswählen?
TheFollowingTablesAreOutdatedColonParameter;Die folgenden Tabellen sind veraltet:|{0}
ProblemCheckingParameterParameter;Problem beim Überprüfen von {0}|{1}
ParameterBetweenQuotesSuccessfullyVerified;'{0}' erfolgreich verifiziert
AskWantToUpdateThem;Möchten Sie sie aktualisieren?
AskEnsureWantDeleteThisStarColonParameterBetweenQuotes;Möchten Sie diesen Stern wirklich löschen: '{0}'?
UpdateTables;Tabellen aktualisieren
SomeBusinessItemIsNotValidUseFunctionalityVerifyBusinessItemsToLearnMoreDetails;Einige Geschäftsartikel sind ungültig. Verwenden Sie die Funktion zur Überprüfung von Geschäftselementen, um weitere Details zu erfahren.
SomeNestedObjectContainsErrors;Einige verschachtelte Objekte enthalten Fehler
SomeJoinHasVerificationProblems;Einige Beziehungen haben Überprüfungsprobleme.
_Alias;Alias
ChangeTheAliasOfThisTable;Ändern Sie den Alias dieser Tabelle
ChangeItemType;Elementtyp ändern
Fields;Felder
ImportedFields;Importierte Felder
CountValues;Werte zählen
ConvertToIndicator;In Indikator umwandeln
ConvertIntoIndicators;In Indikatoren umwandeln
Coordinates;Koordinaten
CreateSnowflake;Schneeflocke erstellen
CreateSnowflakeParenthesesWithAlias;Schneeflocke erstellen (mit Alias)
DataProfile;Datenprofil
YouMustSpecifyANameForThisFolder;Sie müssen einen Namen für diesen Ordner angeben.
YouMustSelectAtLeastOneFieldFromTheTwoTablesInOrderToGenerateTheJoin;Sie müssen mindestens 1 Feld aus den beiden Tabellen auswählen, um den Join zu generieren
YouMustSelectTheMapFieldByWhichItLinksToTheDimension;Sie müssen das Kartenfeld auswählen, über das es mit der Dimension verknüpft wird
YouMustSelectAnImportedField;Sie müssen ein importiertes Feld auswählen
DuplicateItem;Artikel duplizieren
FormulaEditor;Formel-Editor
TheFieldParameterDoesNotExistInTheDatabase;Das Feld {0} ist in der Datenbank nicht vorhanden
TheFieldUsedByTheBusinessItemParameterBetweenQuotesIsNotImported;Das vom Geschäftselement '{0}' verwendete Feld wird nicht importiert
TheBusinessItemParameterBetweenQuotesHasARepeatedGuid;Das Geschäftselement '{0}' hat eine wiederholte Guid
TheBusinessItemNameParameterBetweenQuotesIsNotValid;Ungültiger Geschäftsartikelname '{0}'
DeleteJoin;Beziehung löschen
InTheDefinitionOfBusinessItemParameterBetweenQuotesParameterNotDefinedParametersAreBeingUsed;In der Definition des Geschäftselements '{0}' werden Parameter verwendet, die nicht definiert wurden.
ThisJoinHasNotBeenVerified;Dieser Join wurde nicht überprüft
FilterTables;Filtertabellen
ThereIsSomeErrorInTheJoinDefinition;Gibt es einen Fehler in der Definition des Joins?
ImportTable;Tabelle importieren
ImportTableParenthesesWithAlias;Tabelle importieren (mit Alias)
TheWhereClauseCannotBeEmpty;Die where-Klausel darf nicht leer sein.
TheDefinitionOfTheBusinessItemParameterBetweenQuotesContainsErrors;Die Geschäftselementdefinition '{0}' enthält Fehler
TheTableStructureDoesNotCorrespondWithTheOneAtTheDatabase;Die Struktur der Tabelle entspricht nicht der der Datenbank
TheExpressionMustBeAFilter;Der Ausdruck muss ein Filter sein
TheSelectionMustBeADatabaseTable;Die Auswahl muss eine Datenbanktabelle sein
TheGeographicSqlIsBadDefined;Das geografische SQL ist schlecht definiert
TheTableParameterBetweenQuotesIsNotFoundInAnyDiagram;Die Tabelle '{0}' ist in keinem Diagramm enthalten.
TheTableHasTheCorrectStructure;Die Tabelle hat die richtige Struktur.
TheDocumentationUrlDoesNotHaveValidFormat;Die Dokumentations-URL hat kein gültiges Format
CouldNotUpdateTheFollowingTables;Die folgenden Tabellen konnten nicht aktualisiert werden: {0}
LocateTableInDiagram;Suchen Sie die Tabelle im Diagramm
TheCurrentFieldsDoNotMatchThoseInTheDatabaseAskWantReloadThem;Die aktuellen Felder stimmen nicht mit denen in der Datenbank überein. Möchten Sie sie neu laden?
TheBusinessItemsHaveBeenCheckedSuccessfully;Business Items wurden erfolgreich verifiziert
ShowError;Fehler anzeigen
ItHasNotBeenPossibleAccessSampleCatalogsCheckInternetConnectionIfProblemPersistsContactUsAtEmail;Es war nicht möglich, auf die Beispielkataloge zuzugreifen. Überprüfen Sie Ihre Internetverbindung. Wenn das Problem weiterhin besteht, kontaktieren Sie uns unter info@crono.net
ACatalogHasNotBeenSetToTheEditor;Der Katalog wurde dem Editor nicht zugewiesen
CustomMapAttributeHasNotBeenConfigured;Benutzerdefiniertes Kartenattribut nicht festgelegt
TheFieldWithTheMapIdHasNotBeenConfigured;Das Feld mit der Karten-ID wurde nicht festgelegt
NoTableNamedParameterBetweenQuotesHasBeenFoundInTheDatabase;In der Datenbank wurde keine Tabelle mit dem Namen '{0}' gefunden.
CouldNotOpenCatalogParameterBetweenQuotes;Katalog ' {0} ' konnte nicht geöffnet werden
CouldNotConnectToTheDatabase;Es konnte keine Verbindung zur Datenbank hergestellt werden.
CouldNotRelateAnyTableWithThisBusinessItem;Zu diesem Geschäftsartikel konnte keine Tabelle zugeordnet werden.
NoChangesDetectedInTableParameterBetweenQuotes;In Tabelle '{0}' wurden keine Änderungen festgestellt.
CouldNotLoadTheMapFiles;Kartendateien konnten nicht geladen werden
CannotChangeItemTypeWhenFoldersAndBusinessITemsHaveBeenSelectedAtTheSameTime;Sie können den Elementtyp nicht ändern, wenn Ordner und Geschäftselemente gleichzeitig ausgewählt wurden.
CannotLoadTheDbfMapFile;Kartendatei .dbf kann nicht geladen werden
CannotLoadTheShpMapFile;Die .shp-Map-Datei kann nicht geladen werden
CannotCheckTheInformationOfTheTableParameterBetweenParenthesesBecauseItWasNotPossibleToAccessDatabase;Die Informationen in der Tabelle '{0}' können nicht überprüft werden, da kein Zugriff auf die Datenbank möglich war
CannotCreateThisJoinsBecausePathFromParameterToPArameterAlreadyExistsAndCircularJoinWouldBeCreated;Diese Beziehung kann nicht erstellt werden, da bereits ein Pfad von '{0}' zu '{1}' vorhanden ist und eine kreisförmige Beziehung erstellt wird.
ObjectNameInParameter;Objektname in {0}
NewAlias;Neuer Alias
NewAliasColon;Neuer Alias:
NewCatalog;Neuer Katalog
NewSnowflake;Neue Schneeflocke
SortBy;Sortieren nach
OrderByNotLocalized;Bestellung von
InOrderToCalculateJoinAutomaticallyIsNecessarySelectSameNumberOfFieldsInTheTwoTables;Um den Join automatisch zu berechnen, muss in den beiden Tabellen die gleiche Anzahl von Feldern ausgewählt werden.
CatalogProperties;Katalogeigenschaften
JoinProperties;Beziehungseigenschaften
TableProperties;Tabelleneigenschaften
RecalculateDefaultFormat;Berechnen Sie das Standardformat neu
TheStructureOfTheTableParameterBetweenParenthesesHasBeenUpdated;Die Tabellenstruktur '{0}' wurde aktualisiert
ErrorsHaveBeenFoundInSomeBusinessItems;In einigen Geschäftselementen wurden Fehler gefunden
SelectField;Feld auswählen
SelectTheFactTableOfTheNewSnowflake;Wählen Sie die Faktentabelle der neuen Schneeflocke.
CustomSql;Benutzerdefiniertes SQL
FactTable;Faktentabelle
ImportedTables;Importierte Tabellen
ItemType;Artikeltyp
AllJoinsHaveBeenVerifiedCorrectly;Alle Beziehungen wurden korrekt überprüft.
AllTablesAreUpdated;Alle Tabellen werden aktualisiert.
AllTablesHaveBeenUpdatedSuccessfully;Alle Tabellen wurden erfolgreich aktualisiert.
AllVerifiedCorrectly;Alles korrekt verifiziert
ShowValuesParenthesesOnlyHundredRows;Siehe Werte (nur 1000 Zeilen)
Verifications;Überprüfungen
VerifyParameter;Überprüfen Sie {0}
CheckItems;Überprüfen Sie die Elemente
AnImportedTableWithAliasParameterBetweenQuotesAlreadyExists;Eine importierte Tabelle mit dem Alias '{0}' ist bereits vorhanden
OpenCatalog;Katalog öffnen
OpenConfiguration;Einstellungen öffnen
DefaultAggregationColon;Standardaggregation:
AddWhereClause;Where-Klausel hinzufügen
AliasColon;Alias:
MapAttributeColon;Kartenattribut:
KeyAttributeColon;Schlüsselattribut:
ConnectionString;Verbindungszeichenfolge
CalculateWhereClauseAutomatically;Berechnen Sie die where-Klausel automatisch
YearFieldColon;Jahresfeld:
SortingFieldColon;Sortierfeld:
IdFieldForMapColon;ID-Feld für Karte:
LatitudeFieldColon;Breitengradfeld:
FieldLongitudeColon;Feldlänge:
MonthFieldColon;Monatsfeld:
QuarterFieldColon;Viertelfeld:
TableFieldsColon;Tabellenfelder:
SortFieldsColon;Felder sortieren:
EquivalentFields;Äquivalente Felder
RecentCatalogs;Aktuelle Kataloge
ConnectedToTheDatabase;Mit der Datenbank verbunden
Snowflakes;Schneeflocken
SnowflakesColon;Schneeflocken:
CreateNewCatalog;Neuen Katalog erstellen
DisconnectedFromTheDatabase;Von der Datenbank getrennt
SqlDialectColon;SQL-Dialekt:
GeographicDimension;Geografische Dimension
DocumentationUrlBetweenParenthesesColon;Dokumentation (URL):
ExampleColonFilterPatterns;Beispiel: dbo.dim _ *, dbo.fac _ *,! * Tmp *
TheItemTypeIsVisualAidToInformNatureOfDimensionOrIndicatorItDoesNotAffectGeneratedQueriesOrDataType;Die Art des Elements ist eine visuelle Hilfe, um die Art der Dimension oder des Indikators zu ermitteln. Dies wirkt sich nicht auf die generierten Abfragen oder den Datentyp aus.
BusinessItems;Geschäftsgegenstände
BusinessItemsColon;Geschäftselemente:
IsGeographicalDimension;Es ist eine geografische Dimension
IsTimeTable;Es ist Zeitplan.
ThisJoinMustNotBeVerified;Diese Beziehung sollte nicht überprüft werden.
ThisDocumentIsNotConfiguredForItsPublication;Dieses Dokument ist nicht für die Veröffentlichung konfiguriert.
AvoidIncludingTheSameTableSeveralTimesInTheSameDiagramColon;Vermeiden Sie es, dieselbe Tabelle mehrmals in dasselbe Diagramm aufzunehmen:
LastPublicationDateColon;Datum der letzten Veröffentlichung:
FilterOfVisibleTablesColon;Sichtbare Tabellen filtern:
FilterForTheListOfValues;Filter für die Liste der Werte:
ConditionalFormating;Bedingte Formatierung
HyperlinkColon;Hyperlink:
IdOfMap;Karten-ID
CatalogLanguageColon;Katalogsprache:
FirstLanguageColon;Hauptsprache:
Languages;Sprachen
SecondaryLanguagesColon;Sekundärsprachen:
AdditionalInformation;Zusätzliche Informationen
Latitude;Breitengrad
Length;Länge
CustomMapColon;Benutzerdefinierte Karte:
HyperlinkModeColon;Hyperlink-Modus:
ShowHundred;Show 1000
ShowAll;Alle anzeigen
ComputerNameColon;Teamname:
NumberOfRecordsColon;Anzahl der Datensätze:
SortListOfValuesByFieldColon;Sortieren Sie die Werteliste nach Feld:
AllowListsOfValuesOfThisBusinessItem;Wertelisten dieses Geschäftselements zulassen.
TestCatalog;Testkatalog
Publication;Veröffentlichung
PublishCatalog;Katalog veröffentlichen
References;Referenzen
Joins;Beziehungen
JoinsColon;Beziehungen:
TheDocumentMustBeSavedBeforePublishing;Das Dokument muss vor der Veröffentlichung gespeichert werden.
TableOneParenthesesDetailTable;Tabelle 1 (Detailtabelle)
TableTwoParenthesesDimensionTable;Tabelle 2 (Maßtabelle)
DetailTableColon;Detailtabelle:
TimeTable;Zeitplan
TableColon;Tabelle:
AdditionalTablesColon;Zusätzliche Tabellen:
TablesColon;Tabellen:
ElementTypeColon;Elementtyp:
DefaultColumnFilterTypeColon;Standardspaltenfiltertyp:
LocationColon;Ort:
LastPublication;Letzter Beitrag
LastVerification;Letzte Überprüfung
UseSampleCatalog;Beispielkatalog verwenden
WindowsUserColon;Windows-Benutzer:
Verification;Überprüfung
CheckCurrent;Überprüfen Sie den Strom
CheckNow;Überprüfen Sie jetzt
CheckFields;Felder prüfen
CheckAllTablesStructures;Überprüfen Sie die Struktur aller Tabellen
CheckAll;Überprüfen Sie alle
UpdateStructureFromDatabase;Struktur aus Datenbank aktualisieren
VerifyStructureFromDatabase;Überprüfen Sie die Struktur aus der Datenbank
GroupAndSort;Gruppen und Ordinationen
Data;Daten
ConvertIntoKey;In Schlüssel konvertieren
ToolBox;Toolbox
ReportExplorer;Berichts-Explorer
TheFollowingQueriesNeedAKeySinceContainSubQueries;Die folgenden Abfragen benötigen ein Kennwort, da sie Unterabfragen enthalten:||{0}
CannotBeQueriesWithSameName;Es können keine gleichnamigen Abfragen erfolgen:||{0}
NoActionHasBeenImplementedForNodeOfTypeParameterBetweenQuotes;Für den Knoten vom Typ '{0}' wurde keine Aktion implementiert.
RemoveKey;Passwort entfernen
WindowOfParameter;{0} Fenster
OpenReport;Bericht öffnen
HighColon;Hoch:
WidthColon;Breite:
SubjectColon;Betreff:
ExportFolderColon;Ordner exportieren:
PageConfig;Seiteneinrichtung
RightColon;Richtig:
SendByEmail;Per Mail senden
PdfExport;PDF-Export
ExportInTheTemporaryFolder;Exportieren Sie in den temporären Ordner
Horizontal;Horizontal
BottomColon;Unten:
RecentReports;Aktuelle Berichte
LeftColon;Links:
Margins;Ränder
DisplayReport;Bericht anzeigen
DocumentNameColon;Name des Dokuments:
OrientationColon;Orientierung:
KeywordsColon;Schlüsselwörter:
TopColon;Überlegen:
KindOfPaperColon;Papiersorte:
Vertical;Vertikal
AskEnsureWantMoveSheetToThisNewPosition;Möchten Sie die Klinge wirklich in diese neue Position bringen?
DeletedFileParameterBetweenAccents;Gelöschte Datei `{0}`
CreatedFileParameterBetweenAccents;Datei erstellt `{0}`
EditedFileParameterBetweenAccents;Datei bearbeitet `{0}`
GitHubToken;GitHub Token
YouCanGenerateATokenToInteractWithGitHubFrom;Sie können ein Token für die Interaktion mit GitHub generieren
BranchColon;Zweig:
RepositoryColon;Repository:
OwnerColon;Besitzer:
IconParentheses32x32Colon;Symbol (32 x 32):
TheGitHubTokenMustBeSpecified;GitHub-Token muss angegeben werden
ShowData;Siehe Daten
LoadsToDatabase;Datenbank-Uploads
ShowLoadsButton;Schaltfläche 'Ladevorgänge anzeigen'
DefaultConnectionForLoadsColon;Standardverbindung für Lasten:
DefaultCatalogColon;Standardkatalog:
ShowXmlDefinition;Siehe XML-Definition
TheSourceTableAndDestinationTableFieldsMustBeFilledBothOrEmptyBoth;Die Felder Quelltabelle und Zieltabelle müssen beide ausgefüllt oder leer gelassen werden
Catalan;Katalanisch
French;Französisch
German;Deutsch
Portuguese;Portugiesen
TheCredentialsAreCorrectTheUserAssociatedToThisAccountIsColonParameter;Die Anmeldeinformationen sind korrekt. Der diesem Konto zugeordnete Benutzer ist: {0}
ExecuteLoads;Lasten ausführen
TheCredentialsAreNotCorrectColonParameter;Die Anmeldeinformationen sind nicht korrekt: {0}
Contains;Enthält
UpdateAll;Alle aktualisieren
UpdateQuery;Abfrage aktualisieren
StartDateColon;Startdatum:
